"","TIME","GEO","PRODUCT","INDIC_NRG","Value"
"445","2000","Lithuania","Nuclear heat","Imports",NA
"446","2000","Lithuania","Nuclear heat","Exports",NA
"447","2000","Lithuania","Nuclear heat","Gross inland consumption",93088
"448","2000","Lithuania","Derived heat","Imports",0
"449","2000","Lithuania","Derived heat","Exports",0
"450","2000","Lithuania","Derived heat","Gross inland consumption",0
"451","2000","Lithuania","Renewable energies","Imports",4
"452","2000","Lithuania","Renewable energies","Exports",255
"453","2000","Lithuania","Renewable energies","Gross inland consumption",28243
"454","2000","Lithuania","Electrical energy","Imports",18540
"455","2000","Lithuania","Electrical energy","Exports",23350
"456","2000","Lithuania","Electrical energy","Gross inland consumption",-4810
"457","2000","Lithuania","Waste (non-renewable)","Imports",0
"458","2000","Lithuania","Waste (non-renewable)","Exports",0
"459","2000","Lithuania","Waste (non-renewable)","Gross inland consumption",0
"460","2000","Luxembourg","All products","Imports",155887
"461","2000","Luxembourg","All products","Exports",3519
"462","2000","Luxembourg","All products","Gross inland consumption",152983
"463","2000","Luxembourg","Solid fuels","Imports",4534
"464","2000","Luxembourg","Solid fuels","Exports",0
"465","2000","Luxembourg","Solid fuels","Gross inland consumption",4534
"466","2000","Luxembourg","Total petroleum products","Imports",100043
"467","2000","Luxembourg","Total petroleum products","Exports",866
"468","2000","Luxembourg","Total petroleum products","Gross inland consumption",97127
"469","2000","Luxembourg","Gas","Imports",28108
"470","2000","Luxembourg","Gas","Exports",0
"471","2000","Luxembourg","Gas","Gross inland consumption",28108
"472","2000","Luxembourg","Nuclear heat","Imports",NA
"473","2000","Luxembourg","Nuclear heat","Exports",NA
"474","2000","Luxembourg","Nuclear heat","Gross inland consumption",0
"475","2000","Luxembourg","Derived heat","Imports",0
"476","2000","Luxembourg","Derived heat","Exports",0
"477","2000","Luxembourg","Derived heat","Gross inland consumption",0
"478","2000","Luxembourg","Renewable energies","Imports",1
"479","2000","Luxembourg","Renewable energies","Exports",0
"480","2000","Luxembourg","Renewable energies","Gross inland consumption",1629
"481","2000","Luxembourg","Electrical energy","Imports",23202
"482","2000","Luxembourg","Electrical energy","Exports",2653
"483","2000","Luxembourg","Electrical energy","Gross inland consumption",20549
"484","2000","Luxembourg","Waste (non-renewable)","Imports",0
"485","2000","Luxembourg","Waste (non-renewable)","Exports",0
"486","2000","Luxembourg","Waste (non-renewable)","Gross inland consumption",1037
"487","2000","Hungary","All products","Imports",689283
"488","2000","Hungary","All products","Exports",104971
"489","2000","Hungary","All products","Gross inland consumption",1059191
"490","2000","Hungary","Solid fuels","Imports",50746
"491","2000","Hungary","Solid fuels","Exports",5242
"492","2000","Hungary","Solid fuels","Gross inland consumption",161197
"493","2000","Hungary","Total petroleum products","Imports",296641
"494","2000","Hungary","Total petroleum products","Exports",75127
"495","2000","Hungary","Total petroleum products","Gross inland consumption",291573
"496","2000","Hungary","Gas","Imports",307613
"497","2000","Hungary","Gas","Exports",2704
"498","2000","Hungary","Gas","Gross inland consumption",404309
"499","2000","Hungary","Nuclear heat","Imports",NA
"500","2000","Hungary","Nuclear heat","Exports",NA
"501","2000","Hungary","Nuclear heat","Gross inland consumption",153750
"502","2000","Hungary","Derived heat","Imports",0
"503","2000","Hungary","Derived heat","Exports",0
"504","2000","Hungary","Derived heat","Gross inland consumption",0
"505","2000","Hungary","Renewable energies","Imports",0
"506","2000","Hungary","Renewable energies","Exports",0
"507","2000","Hungary","Renewable energies","Gross inland consumption",34760
"508","2000","Hungary","Electrical energy","Imports",34283
"509","2000","Hungary","Electrical energy","Exports",21899
"510","2000","Hungary","Electrical energy","Gross inland consumption",12384
"511","2000","Hungary","Waste (non-renewable)","Imports",0
"512","2000","Hungary","Waste (non-renewable)","Exports",0
"513","2000","Hungary","Waste (non-renewable)","Gross inland consumption",1218
"514","2000","Malta","All products","Imports",61042
