"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value"
"2000","France","Terajoule","Solid fuels","Gross inland consumption","630 018"
"2000","France","Terajoule","Total petroleum products","Imports","4 776 515"
"2000","France","Terajoule","Total petroleum products","Exports","955 427"
"2000","France","Terajoule","Total petroleum products","Gross inland consumption","3 723 606"
"2000","France","Terajoule","Gas","Imports","1 526 486"
"2000","France","Terajoule","Gas","Exports","28 512"
"2000","France","Terajoule","Gas","Gross inland consumption","1 497 469"
"2000","France","Terajoule","Nuclear heat","Imports",":"
"2000","France","Terajoule","Nuclear heat","Exports",":"
"2000","France","Terajoule","Nuclear heat","Gross inland consumption","4 483 750"
"2000","France","Terajoule","Derived heat","Imports","0"
"2000","France","Terajoule","Derived heat","Exports","0"
"2000","France","Terajoule","Derived heat","Gross inland consumption","0"
"2000","France","Terajoule","Renewable energies","Imports","309"
"2000","France","Terajoule","Renewable energies","Exports","0"
"2000","France","Terajoule","Renewable energies","Gross inland consumption","659 104"
"2000","France","Terajoule","Electrical energy","Imports","13 302"
"2000","France","Terajoule","Electrical energy","Exports","263 426"
"2000","France","Terajoule","Electrical energy","Gross inland consumption","-250 124"
"2000","France","Terajoule","Industrial wastes","Imports","0"
"2000","France","Terajoule","Industrial wastes","Exports","0"
"2000","France","Terajoule","Industrial wastes","Gross inland consumption","0"
"2000","France","Terajoule","Waste (non-renewable)","Imports","0"
"2000","France","Terajoule","Waste (non-renewable)","Exports","0"
"2000","France","Terajoule","Waste (non-renewable)","Gross inland consumption","38 877"
"2000","Croatia","Terajoule","All products","Imports","249 038"
"2000","Croatia","Terajoule","All products","Exports","78 061"
"2000","Croatia","Terajoule","All products","Gross inland consumption","352 612"
"2000","Croatia","Terajoule","Solid fuels","Imports","20 030"
"2000","Croatia","Terajoule","Solid fuels","Exports","0"
"2000","Croatia","Terajoule","Solid fuels","Gross inland consumption","18 052"
"2000","Croatia","Terajoule","Total petroleum products","Imports","175 325"
"2000","Croatia","Terajoule","Total petroleum products","Exports","74 587"
"2000","Croatia","Terajoule","Total petroleum products","Gross inland consumption","164 489"
"2000","Croatia","Terajoule","Gas","Imports","37 894"
"2000","Croatia","Terajoule","Gas","Exports","0"
"2000","Croatia","Terajoule","Gas","Gross inland consumption","92 504"
"2000","Croatia","Terajoule","Nuclear heat","Imports",":"
"2000","Croatia","Terajoule","Nuclear heat","Exports",":"
"2000","Croatia","Terajoule","Nuclear heat","Gross inland consumption","0"
"2000","Croatia","Terajoule","Derived heat","Imports","0"
"2000","Croatia","Terajoule","Derived heat","Exports","0"
"2000","Croatia","Terajoule","Derived heat","Gross inland consumption","0"
"2000","Croatia","Terajoule","Renewable energies","Imports","0"
"2000","Croatia","Terajoule","Renewable energies","Exports","0"
"2000","Croatia","Terajoule","Renewable energies","Gross inland consumption","65 196"
"2000","Croatia","Terajoule","Electrical energy","Imports","15 790"
"2000","Croatia","Terajoule","Electrical energy","Exports","3 474"
"2000","Croatia","Terajoule","Electrical energy","Gross inland consumption","12 316"
"2000","Croatia","Terajoule","Industrial wastes","Imports","0"
"2000","Croatia","Terajoule","Industrial wastes","Exports","0"
"2000","Croatia","Terajoule","Industrial wastes","Gross inland consumption","56"
"2000","Croatia","Terajoule","Waste (non-renewable)","Imports","0"
"2000","Croatia","Terajoule","Waste (non-renewable)","Exports","0"
"2000","Croatia","Terajoule","Waste (non-renewable)","Gross inland consumption","56"
"2000","Italy","Terajoule","All products","Imports","7 285 268"
"2000","Italy","Terajoule","All products","Exports","918 458"
"2000","Italy","Terajoule","All products","Gross inland consumption","7 294 210"
"2000","Italy","Terajoule","Solid fuels","Imports","553 402"
"2000","Italy","Terajoule","Solid fuels","Exports","3 559"
"2000","Italy","Terajoule","Solid fuels","Gross inland consumption","525 460"
"2000","Italy","Terajoule","Total petroleum products","Imports","4 578 952"
"2000","Italy","Terajoule","Total petroleum products","Exports","911 366"
"2000","Italy","Terajoule","Total petroleum products","Gross inland consumption","3 748 849"
"2000","Italy","Terajoule","Gas","Imports","1 969 858"
"2000","Italy","Terajoule","Gas","Exports","1 716"
"2000","Italy","Terajoule","Gas","Gross inland consumption","2 426 026"
"2000","Italy","Terajoule","Nuclear heat","Imports",":"
"2000","Italy","Terajoule","Nuclear heat","Exports",":"
"2000","Italy","Terajoule","Nuclear heat","Gross inland consumption","0"
"2000","Italy","Terajoule","Derived heat","Imports","0"
"2000","Italy","Terajoule","Derived heat","Exports","0"
"2000","Italy","Terajoule","Derived heat","Gross inland consumption","0"
"2000","Italy","Terajoule","Renewable energies","Imports","21 664"
